jobs,skills,employment,coverage
Tax Preparers,"{'Schedule client appointments (Administration & Office > Scheduling & Notifications > Appointment Scheduling)', 'Prepare individual and small business tax returns (Finance & Accounting > Tax Preparation & Filing)', 'Optimize tax filings using allowable deductions and credits (Finance & Accounting > Tax Advisory & Planning)', 'Review financial records to determine required tax forms (Finance & Accounting > Tax Preparation & Filing)', 'Provide tax advisory and answer client questions (Finance & Accounting > Tax Advisory & Planning)', 'Calculate tax liabilities and complete tax forms (Finance & Accounting > Tax Preparation & Filing)', 'Calculate service fees based on complexity and time (Finance & Accounting > Financial Calculations & Reporting > Billing & Commission Calculations)', 'Provide guidance to ensure accurate tax form completion (Finance & Accounting > Tax Advisory & Planning)', 'Research tax procedures for atypical returns (Compliance & Legal > Regulatory Compliance > Tax Law Research & Interpretation)'}",90600,0.010676156583629894
Public Safety Telecommunicators,"{'Prioritize incidents and dispatch resources (Operations & Logistics > Emergency Dispatch & Incident Prioritization)', 'Maintain emergency callrelated records (Administration & Office > Records Management > Emergency Dispatch Records)', 'Interpret maps and onscreen location data to provide directions (Operations & Logistics > Geospatial Interpretation & Navigation > Map Interpretation & Direction Provision)', 'Control access and security for sensitive materials (Administration & Office > Records Management > Sensitive Materials Access Control & Security)', 'Log call, dispatch, and message details for emergency communications (Administration & Office > Records Management > Emergency Dispatch Records)'}",105200,0.005931198102016607
Payroll and Timekeeping Clerks,"{'Track employee leave and attendance balances (Administration & Office > Human Resources Administration > Time & Attendance Tracking)', 'Verify time records and update payroll records (Finance & Accounting > Payroll Processing > Time Record Verification & Payroll Updates)', 'Issue and record payroll adjustments (Finance & Accounting > Payroll Processing > Payroll Adjustments Issuance & Recording)', 'Process employee onboarding paperwork and set up payroll profiles (Administration & Office > Human Resources Administration > Employee Onboarding Documentation & Payroll Setup)', 'Prepare and balance periodend payroll reports; reconcile payrolls to bank statements (Finance & Accounting > Payroll Processing > PeriodEnd Payroll Reporting & Bank Reconciliation)', 'Issue payroll disbursements and earnings statements (Finance & Accounting > Payroll Processing > Payroll Disbursement & Payslip Issuance)', 'Verify employment status (Administration & Office > Human Resources Administration > Employment Verification)', 'Monitor regulatory changes affecting payroll taxes and deductions (Finance & Accounting > Payroll Processing > Payroll Tax & Deduction Compliance Monitoring)', 'Update payroll records with employee status and exemption changes (Finance & Accounting > Payroll Processing > Payroll Records Maintenance & Employee Status Updates)', 'Compile time and payroll data (Finance & Accounting > Payroll Processing > Time & Payroll Data Compilation)', 'Detect and reconcile payroll discrepancies using time and wage data (Finance & Accounting > Payroll Processing > Payroll Discrepancy Detection & Reconciliation)', 'Record employee time and attendance (Administration & Office > Human Resources Administration > Time & Attendance Tracking)', 'Calculate payroll wages and deductions and enter data (Finance & Accounting > Payroll Processing > Payroll Calculation & Data Entry)'}",161100,0.01542111506524318
Desktop Publishers,"{'Create sample layout drafts in design software (Content & Publishing > Concept Layout & Mockup Creation)', 'Compose page layouts by positioning text and graphics for print or web (root > Content & Publishing > Page Layout & Composition (Print & Web))', 'Perform onscreen proofing and adjust layouts based on visual feedback (Content & Publishing > OnScreen Proofing & Iterative Layout Adjustment)', 'Edit and retouch digital images (Content & Publishing > Digital Image Editing & Retouching)', 'Review and correct publication proofs (Content & Publishing > Publication Proof Review & Correction)', 'Operate desktop publishing software to produce cameraready layouts (Content & Publishing > Page Layout & Composition (Print & Web) > Desktop Publishing & CameraReady Layout Production)', 'Define color separations and color counts for print production (Content & Publishing > Print Layout & Typography Specification > Color Separation Specification)', 'Convert files for print or web delivery (Content & Publishing > Digital File Preparation)', 'Import digitized content into electronic prepress systems (Content & Publishing > Digital File Preparation)', 'Import and integrate text and image assets into layouts (Content & Publishing > Digital File Preparation > Text & Asset Import for Layouts)', 'Set text layout and typography for print (Content & Publishing → Print Layout & Typography Specification)', 'Interpret design specifications to plan work sequence (Content & Publishing > Design Specification Interpretation & Production Planning)'}",5000,0.014234875444839857
Online Merchants,"{'Process order cancellations due to customer or supply issues (Administration & Office > Customer Service & Issue Resolution > Order Cancellation & Adjustment Processing)', 'Create, manage, and automate orders and invoices using order/invoicing software (Finance & Accounting > Invoicing & Billing Administration > Order Management & Invoicing Software Operation)', 'Prepare and optimize online storefront content for SEO (Content & Publishing > Online Storefront Content Preparation & SEO)', 'Send transactional email confirmations for orders and shipments (Administration & Office > Scheduling & Notifications > Transactional Notifications)', 'Upload digital media to online storefronts (Content & Publishing > Online Storefront Content Preparation & SEO)', 'Promote products via online communities and digital channels (Content & Publishing > Digital Marketing Campaign Management > Online Marketing Campaign Execution)', 'Set product pricing (Finance & Accounting > Pricing Strategy & Price Setting)', 'Purchase merchandise to maintain target inventory levels (Operations & Logistics > Procurement & Purchasing > Inventory Replenishment Purchasing)', 'Manage digital customer communications and resolve product/policy/shipping inquiries (Administration & Office > Customer Service & Issue Resolution > Online Customer Communications & Complaint Resolution)', 'Receive and process customer payments via electronic transaction services (Finance & Accounting > Invoicing & Billing Administration > Customer Invoice Preparation & Payment Processing)', 'Create and maintain customer account databases (Information Technology > Database Management > Customer Account Databases)', 'Research product and market opportunities for merchandising (Data & Analytics > Market Research & Opportunity Analysis > Product & Market Opportunity Research)', 'Calculate revenue, sales, and expense totals (Finance & Accounting > Financial Calculations & Reporting > Revenue, Sales & Expense Calculations)', 'Write product descriptions for online listings (Content & Publishing > Product Listing Content Writing)', 'Calculate order totals including subtotal, taxes, and shipping (Finance & Accounting > Financial Calculations & Reporting > Order Total & Tax/Shipping Calculation)'}",1205700,0.017793594306049824
Quality Control Systems Managers,"{'Oversee quality data tracking (Quality Management > Quality Control Data Tracking)', 'Document test procedures, methodologies, and criteria (Quality Management > Test Documentation & Records)', 'Monitor quality control system performance for effectiveness and efficiency (Quality Management > Quality Control System Performance Monitoring)', 'Analyze quality control test results and communicate findings (Quality Management > Test Results Analysis & Corrective Actions)', 'Review quality documentation for regulatory compliance (Compliance & Legal > Regulatory Compliance > Regulatory Submission Review & Quality Control)', 'Communicate quality control information to internal and external stakeholders (Quality Management > Quality Control Communications & Stakeholder Liaison)', 'Prepare quality and nonconformance reports (Quality Management > Quality Reporting & Documentation)', 'Maintain SOPs and quality manuals (Quality Management > SOP & Quality Manual Maintenance)', 'Develop and implement test and inspection procedures (Quality Management > Quality Control Procedure Development & Monitoring)'}",241900,0.010676156583629894
Statisticians,"{'Design statistically valid research studies using baseline or historical data (root > Data & Analytics > Statistical Design & Power Analysis)', 'Identify data relationships, trends, and confounding factors (Data & Analytics > Statistical Analysis)', 'Organize, validate, and weight raw data for processing (Data & Analytics > Data Processing & Preparation)', 'Report statistical analysis results with visualizations (Data & Analytics > Statistical Reporting)', 'Process large datasets for statistical modeling and visualization (Data & Analytics > Data Processing & Preparation)', 'Interpret statistical data to determine significant relationships (Data & Analytics > Statistical Analysis)'}",32200,0.0071174377224199285
Computer User Support Specialists,"{'Execute commands and monitor system behavior to verify operation and detect errors (Information Technology > IT Support > Systems & Peripheral Diagnostics)', 'Diagnose and resolve user technical issues using documentation and consultation (Information Technology > IT Support > Systems & Peripheral Diagnostics)', 'Evaluate software and hardware and recommend upgrades (Information Technology > IT Operations > Software & Hardware Evaluation & Upgrade Recommendations)', 'Maintain IT support activity records (Information Technology > IT Support > Support Activity Logging)', 'Develop user training materials and deliver hardware/software training (Information Technology > IT Support > User Training & Documentation Development)', 'Monitor daily computer system performance (Information Technology > IT Operations > Systems Monitoring & Alerting)', 'Provide enduser technical support and issue resolution (Information Technology > IT Support > EndUser Technical Support & Issue Resolution)'}",729500,0.00830367734282325
Data Entry Keyers,"{'File and archive completed documents (Administration & Office > Records Management > Document Filing & Archiving)', 'Enter data from source documents using keyboards or scanners (Administration & Office > Records Management > Data Entry)', 'Verify and correct data entries against source documents (Administration & Office → Records Management → Data Entry → Data Entry Error Identification & Correction)', 'Prepare, sort, and validate data prior to entry (Administration & Office > Records Management > Data Entry > Data Preparation & PreEntry Verification)', 'Identify and correct data entry errors (Administration & Office > Records Management > Data Entry > Data Entry Error Identification & Correction)', 'Maintain activity and work logs (Administration & Office > Records Management > Activity & Work Logs)'}",141600,0.0071174377224199285
Petroleum Engineers,"{'Maintain technical operations records (Administration & Office > Records Management > Technical Operations Records)', 'Interpret and communicate drilling and testing results to personnel (Content & Publishing > Technical Presentations & Reporting)', 'Analyze geological and production data to recommend well placement (Operations & Logistics > Geospatial Interpretation & Navigation > Resource Extraction Site Analysis & Placement Recommendations)', 'Monitor production rates and plan rework to improve output (Operations & Logistics > Production Rework Planning & Optimization)', 'Evaluate technical findings to inform equipment and process design and testing (Operations & Logistics > Engineering Design Modeling & Evaluation > Findings Evaluation for Equipment & Process Development)', 'Write technical engineering reports (Content & Publishing > Technical Writing & Standards Compliance)', 'Assign and balance staff workloads for optimal utilization (Administration & Office > Scheduling & Notifications > Workforce Scheduling & Allocation)'}",19600,0.00830367734282325
