Skill,TaxonomyPath,NumTasks,NumJobs,Population
Workforce Scheduling,root -> Operations & Scheduling -> Scheduling & Calendar Management -> Workforce Scheduling,15,3,676100
Appointment Scheduling,root -> Operations & Scheduling -> Scheduling & Calendar Management -> Appointment Scheduling,44,8,4077100
Class Scheduling,root -> Operations & Scheduling -> Scheduling & Calendar Management -> Class Scheduling,3,1,452300
Maintenance Scheduling,root -> Operations & Scheduling -> Scheduling & Calendar Management -> Maintenance Scheduling,3,1,38300
Availability Scheduling,root -> Operations & Scheduling -> Scheduling & Calendar Management -> Availability Scheduling,24,1,103100
Production Scheduling,root -> Operations & Scheduling -> Scheduling & Calendar Management -> Production Scheduling,8,1,388800
Facility and Equipment Scheduling,root -> Operations & Scheduling -> Scheduling & Calendar Management -> Facility and Equipment Scheduling,11,1,167000
Calendar Management,root -> Operations & Scheduling -> Scheduling & Calendar Management -> Calendar Management,44,1,1944000
Order Fulfillment,root -> Operations & Scheduling -> Operations Core -> Order Fulfillment,23,4,3314700
Inventory Management,root -> Operations & Scheduling -> Operations Core -> Inventory Management,18,5,2902200
Manufacturing Requirements Planning,root -> Operations & Scheduling -> Operations Core -> Production Administration -> Manufacturing Requirements Planning,4,3,815900
Production Work Instructions and Resource Planning,root -> Operations & Scheduling -> Operations Core -> Production Administration -> Production Work Instructions and Resource Planning,5,1,388800
Production Monitoring,root -> Operations & Scheduling -> Operations Core -> Production Monitoring,1,8,1583900
Logistics Analysis,root -> Operations & Scheduling -> Operations Core -> Logistics Analysis,6,10,2337100
Transportation Planning,root -> Operations & Scheduling -> Operations Core -> Transportation Planning,22,2,81600
Utilities Distribution Control,root -> Operations & Scheduling -> Operations Core -> Utilities Distribution Control,1,2,18600
Maintenance Needs Analysis,root -> Operations & Scheduling -> Operations Core -> Maintenance Needs Analysis,1,1,331500
Equipment and Process Change Approval,root -> Operations & Scheduling -> Operations Core -> Equipment and Process Change Approval,2,1,241900
Operational Efficiency Analysis,root -> Operations & Scheduling -> Operations Core -> Operational Efficiency Analysis,22,4,3830900
Administrative Correspondence Preparation,root -> Operations & Scheduling -> Operations Core -> Office Administration -> Administrative Correspondence Preparation,59,1,156300
Customer Policy and Delivery Communication,root -> Operations & Scheduling -> Operations Core -> Customer Policy and Delivery Communication,12,4,2635800
Customer Issue Resolution,root -> Operations & Scheduling -> Operations Core -> Customer Issue Resolution,14,8,15549700
Resource Loan Coordination,root -> Operations & Scheduling -> Operations Core -> Resource Loan Coordination,1,1,142100
Travel Information and Advisory,root -> Operations & Scheduling -> Operations Core -> Travel Information and Advisory,105,2,263800
Emergency Dispatch,root -> Operations & Scheduling -> Operations Core -> Emergency Dispatch,2,1,105200
Booking and Ticketing,root -> Operations & Scheduling -> Operations Core -> Booking and Ticketing,81,12,1276200
Risk Assessment and Mitigation Planning,root -> Operations & Scheduling -> Operations Core -> Risk Assessment and Mitigation Planning,18,1,472000
Product Specification Development,root -> Supply Chain & Procurement -> Procurement & Purchasing -> Product Specification Development,3,1,522200
Supplier Performance Analysis,root -> Supply Chain & Procurement -> Procurement & Purchasing -> Supplier Performance Analysis,4,2,433400
E-Procurement Systems Administration,root -> Supply Chain & Procurement -> Procurement & Purchasing -> E-Procurement Systems Administration,0,1,83500
Bid Evaluation and Award Preparation,root -> Supply Chain & Procurement -> Procurement & Purchasing -> Bid Evaluation and Award Preparation,4,1,83500
